ukca_acure_bl_nuc,ukca_acure_ageing,ukca_acure_accumulation_width,ukca_acure_aitken_width,ukca_acure_cloudph,ukca_acure_ff_ems,ukca_acure_bb_ems,ukca_acure_bf_ems,ukca_acure_ff_diameter,ukca_acure_bb_diameter,ukca_acure_bf_diameter,ukca_acure_su_parfrac,ukca_acure_su_diameter,ukca_acure_ss_flux,ukca_acure_anth_so2,ukca_acure_volc_so2,ukca_acure_bio_soa,ukca_acure_dms_flux,ukca_acure_aitken_ddrydepaer,ukca_acure_accum_ddrydepaer,ukca_acure_drydep_so2,ukca_acure_kappa_oc,ukca_acure_sigw,ukca_acure_dust_ems,ukca_acure_rain_frac,ukca_acure_rr_thres
x,x,x,x,x,x,4.13,x,9.08,x,x,9.2,x,x,x,21.94,x,15.03,x,11.42,x,32.9,6.69,x,x,45.18
x,16.16,9.11,33.03,x,x,x,x,x,34.18,x,x,x,x,30.61,21.94,x,x,8.94,x,x,32.9,x,x,10.04,45.18
44.04,16.16,x,x,x,x,x,x,9.08,34.18,x,9.2,x,x,x,x,x,15.03,8.94,11.42,17.78,32.9,x,44.02,x,x
44.04,16.16,9.11,33.03,x,37.2,4.13,17.93,9.08,34.18,0.49,x,x,14.7,x,x,31.02,x,x,11.42,17.78,x,x,x,x,x
44.04,16.16,x,33.03,17.99,37.2,x,17.93,x,34.18,x,x,x,x,x,21.94,31.02,15.03,8.94,11.42,17.78,32.9,x,44.02,10.04,x
44.04,x,9.11,x,17.99,37.2,x,17.93,9.08,x,x,9.2,x,14.7,x,21.94,31.02,15.03,8.94,x,17.78,32.9,x,x,x,45.18
x,16.16,9.11,x,x,x,x,x,x,x,0.49,9.2,23.66,14.7,x,21.94,x,x,8.94,11.42,x,32.9,x,x,10.04,45.18
44.04,x,9.11,33.03,x,37.2,4.13,x,9.08,x,0.49,x,23.66,14.7,x,21.94,31.02,15.03,x,11.42,17.78,32.9,x,x,x,45.18
x,x,9.11,x,x,37.2,4.13,17.93,9.08,x,x,9.2,23.66,x,30.61,21.94,31.02,x,x,x,x,x,6.69,44.02,10.04,45.18
x,16.16,9.11,x,17.99,x,4.13,17.93,x,34.18,x,9.2,x,x,30.61,x,31.02,15.03,8.94,11.42,17.78,x,6.69,x,x,45.18
44.04,16.16,9.11,33.03,17.99,x,x,x,9.08,34.18,x,x,x,x,x,x,31.02,x,x,11.42,x,x,x,44.02,x,45.18
44.04,16.16,9.11,33.03,x,37.2,4.13,x,x,x,0.49,x,23.66,x,30.61,x,31.02,x,x,11.42,17.78,x,6.69,x,x,x
x,x,x,33.03,17.99,37.2,x,x,x,34.18,0.49,x,x,x,30.61,x,x,15.03,x,x,17.78,32.9,x,44.02,10.04,x
x,16.16,9.11,33.03,x,x,x,x,9.08,x,x,x,23.66,14.7,x,x,31.02,x,x,x,17.78,x,x,x,x,x
44.04,x,x,33.03,17.99,x,4.13,x,x,x,0.49,9.2,x,x,30.61,x,31.02,x,x,11.42,17.78,32.9,x,44.02,10.04,x
x,16.16,x,x,x,x,4.13,17.93,9.08,34.18,x,9.2,x,x,30.61,x,x,15.03,x,x,17.78,32.9,6.69,x,10.04,x
44.04,x,x,33.03,x,37.2,4.13,17.93,9.08,x,0.49,x,23.66,14.7,30.61,x,31.02,x,8.94,x,x,32.9,6.69,x,10.04,x
x,x,x,x,x,37.2,4.13,x,9.08,34.18,0.49,9.2,23.66,14.7,30.61,21.94,31.02,x,x,x,17.78,x,6.69,x,x,45.18
44.04,16.16,x,x,17.99,x,x,17.93,x,34.18,0.49,x,x,14.7,x,x,x,15.03,8.94,11.42,x,32.9,6.69,44.02,10.04,x
